название остановки,id остановки
Большой Рой,stop_1338
Сосновка,stop_1339
площадь Вахитова-3,stop_134
Поворот на Тюм-Тюм,stop_1340
Поворот на Лазарево,stop_1341
Верхняя Шурма,stop_1342
Поворот на Шурму,stop_1343
Кизерь,stop_1344
Поворот на Русский Турек,stop_1345
Русский Турек,stop_1346
Поворот на Шевнино,stop_1347
ул. Новокузнечная д.82,stop_1348
ул. Новокузнечная,stop_1349
ул. Х.Такташа-1,stop_135
Типография,stop_1350
Рынок,stop_1351
ул. Рокина,stop_1352
ул. Гоголя д.42,stop_1353
Автостанция Уржум,stop_1354
ул. Трактовая,stop_1355
Поворот на Андреевский,stop_1356
Марчата,stop_1357
Вершинята,stop_1358
Щино,stop_1359
Деревня Универсиады-2,stop_136
Скрябино,stop_1360
ул. Кирова д.127,stop_1361
Петровское – 2,stop_1362
Круглые Полянки,stop_1363
Поворот на Орешник,stop_1364
Поворот на Аркуль,stop_1365
Сомовщина,stop_1366
Поворот на Юртик,stop_1367
Поворот на Чащино,stop_1368
Поворот на Чураково,stop_1369
ул. Сыртлановой-1,stop_137
Поворот на Нолинск,stop_1370
Перевоз,stop_1371
Среднее – 1,stop_1372
Среднее – 2,stop_1373
Ключи,stop_1374
ул. Ленина д.75,stop_1375
Кырчаны,stop_1376
Кырчаны – 2,stop_1377
Рогали,stop_1378
Карачи,stop_1379
"Станция метро ""Проспект Победы""-2",stop_138
Коромысловщина,stop_1380
Гребенки,stop_1381
Бабино,stop_1382
Окуневская,stop_1383
Кокуй,stop_1384
Светлаки,stop_1385
Часовня,stop_1386
Автостанция Суна,stop_1387
Большевик,stop_1388
Гари,stop_1389
Проспект Победы-1,stop_139
Осиновица,stop_1390
Грамотушка,stop_1391
Дворища,stop_1392
Киселиха,stop_1393
Ошеть,stop_1394
Кленовое,stop_1395
Поворот на Большой Перелаз,stop_1396
Поворот на Кумёны,stop_1397
Поворот на Парфёновщину,stop_1398
Поворот на Вожгалы,stop_1399
Кооперативный институт-1,stop_14
ул. Ю.Фучика,stop_140
Железнодорожный вокзал,stop_1400
Автовокзал Киров,stop_1401
ул. Кирова д.128,stop_1402
Теребиловка,stop_1403
Мост,stop_1404
ул. Новокузнечная д.58,stop_1405
ул. К.Маркса д.76,stop_1406
ул. Пролетарская д.11,stop_1407
Кольцевая,stop_1408
Татарское Макулово,stop_1409
ул. Генерала Сафиуллина,stop_141
Поворот на Куралово,stop_1410
Кафе,stop_1411
Никольский,stop_1412
Лесные Моркваши,stop_1413
ул. Залесная д.49А,stop_1414
Железнодорожный вокзал (ул. Бурхана Шахиди д.1/15),stop_1415
Ульяновск – Новый Город,stop_1416
Станция Верхняя Терраса,stop_1417
Ульяновск – Центральный автовокзал,stop_1418
Автостанция Парк Победы,stop_1419
ул. Кул. Гали,stop_142
Протопоповка,stop_1420
По требованию,stop_1421
Лаишевка,stop_1422
Станция Лаишевка,stop_1423
Шумовка,stop_1424
Семёновка,stop_1425
Дачная,stop_1426
Поворот на Арбузовку,stop_1427
Цильна,stop_1428
Марьевка,stop_1429
10-й микрорайон,stop_143
Кашинка,stop_1430
Поворот на Елховое Озеро,stop_1431
Поворот на Кундюковку,stop_1432
Будённовка,stop_1433
Новосёлки,stop_1434
Поворот на Чувашские Кищаки,stop_1435
Поворот на Бурундуки,stop_1436
Поворот на Старые Мертли,stop_1437
Татарское Пимурзино,stop_1438
Малые Бюрганы,stop_1439
ул. Академика Завойского,stop_144
Старый Студенец-2,stop_1440
Старый Студенец-1,stop_1441
Мещеряково,stop_1442
Ульяновский выезд,stop_1443
Машиностроительный завод,stop_1444
Степановка,stop_1445
Поворот на Апастово,stop_1446
Танай-Тураево,stop_1447
Чуру-Барышево,stop_1448
Шонгуты,stop_1449
ул. Чишмяле,stop_145
Большие Кокузы,stop_1450
Малые Кокузы,stop_1451
Канаш,stop_1452
Большие Меми,stop_1453
